Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Loveland	2	0	0	0	0	0	1	1	0	"66	204"
		Montrose	0	0	0	1	0	0	0	0	1	"17	895"
		New Castle	1	0	0	0	0	1	0	0	0	"3	809"
		Parachute	1	0	0	0	0	0	0	0	1	"1	295"
		Parker	0	0	1	0	0	0	1	0	0	"45	825"
		Silverthorne	1	0	0	0	0	0	1	0	0	"4	024"
		Steamboat Springs	1	0	0	0	0	1	0	0	0	"9	470"
		Thornton	1	2	0	1	0	2	1	1	0	"114	923"
		Wheat Ridge	0	0	1	0	0	0	0	1	0	"30	582"
		Wiggins	0	0	0	0	1	1	0	0	0	956
	Universities and Colleges		1	0	0	0	0					
		Fort Lewis College	1	0	0	0	0	0	0	0	1	"3	928"
	Metropolitan Counties		6	2	1	6	0					
		Adams	1	0	1	1	0	1	0	1	1	
		Arapahoe	4	1	0	1	0	1	2	2	1	
		Jefferson	0	1	0	0	0	0	1	0	0	
		Mesa	0	0	0	2	0	1	0	1	0	
		Park	1	0	0	0	0	1	0	0	0	
		Weld	0	0	0	2	0	0	1	1	0	
	Other Agencies		0	0	0	1	0					
		Colorado Mental Health Institute	0	0	0	1	0	1	0	0	0	
CONNECTICUT	Total		91	32	18	23	0					
	Cities		83	31	14	20	0					
		Berlin	0	1	0	0	0	0	1	0	0	"20	515"
		Bethel	1	0	0	1	0	0	0	2	0	"18	566"
		Bloomfield	0	0	0	1	0	1	0	0	0	"20	833"
		Bridgeport	2	0	2	0	0	0	2	1	1	"136	327"
		Bristol	0	0	0	1	0	1	0	0	0	"60	994"
		Canton	1	0	0	0	0	1	0	0	0	"10	251"
		Cheshire	3	0	1	0	0	0	2	2	0	"28	864"
		Coventry	0	1	0	0	0	1	0	0	0	"12	278"
		Cromwell	1	0	0	0	0	0	0	1	0	"13	631"
		Danbury	1	1	0	1	0	0	1	0	2	"79	753"
		Derby	4	0	0	0	0	1	1	1	1	"12	438"
		East Hampton	1	0	0	0	0	0	0	1	0	"12	756"
		East Hartford	2	0	0	0	0	0	1	0	1	"48	586"
		East Windsor	1	0	0	0	0	0	0	1	0	"10	717"
		Enfield	1	0	0	1	0	1	0	1	0	"44	982"
